Loan Amount,Loan Term,Employment Length,Home Ownership,Annual Income,Loan Purpose,Address State,Debt To Income Ratio,No. Delinquencies In Last 2 Years,Earliest Credit Line Opened,FICO Credit Score,No. Inquiries In Last 6 Months,Months Since Last Delinquency,No. Of Credit Lines,No. Adverse Public Records,Total Credit Balance,Use Of Credit Line,Total Number Of Credit Lines,Loan Application Description,No. Of Public Record Bankruptcies,Class
6000,36 Months,2.0,RENT,200000.0,Other,NY,3.64,None,36533.24792,720.0,0.0,0,4.0,None,50000.0,94.0,11.0,1000,None,Creditworthy
4325,36 Months,10.0,MORTGAGE,44300.0,Credit Card,FL,5.47,None,34510.24306,715.0,0.0,73,9.0,One,5074.0,35.2,34.0,0,One,Creditworthy
12600,36 Months,10.0,RENT,36000.0,Credit Card,TX,15.78,None,35931.13125,685.0,1.0,64,5.0,None,8186.0,98.6,16.0,0,None,Creditworthy
21000,60 Months,10.0,MORTGAGE,85000.0,Major Purchase,CA,6.0,None,33182.28194,755.0,0.0,0,21.0,None,3064.0,2.6,45.0,0,None,Creditworthy
3000,36 Months,0.5,RENT,30000.0,Major Purchase,NY,17.6,None,36122.40833,750.0,1.0,0,8.0,None,3865.0,30.4,30.0,679,None,Creditworthy
4000,36 Months,1.0,RENT,32160.0,Medical,FL,2.84,None,34907.40694,685.0,0.0,0,2.0,None,2127.0,92.5,5.0,0,None,Creditworthy
1500,36 Months,10.0,MORTGAGE,97000.0,Small Business,CA,19.63,None,33906.05069,665.0,1.0,0,11.0,None,35131.0,85.7,27.0,248,None,Creditworthy
4200,36 Months,1.0,OWN,27996.0,Debt Consolidation,NJ,9.52,One,31911.14792,660.0,0.0,10,13.0,None,6209.0,62.5,26.0,238,None,Creditworthy
12000,60 Months,10.0,RENT,70000.0,Other,NY,20.69,None,34913.21458,670.0,2.0,42,9.0,None,18817.0,81.8,21.0,158,None,Uncreditworthy
20000,36 Months,6.0,RENT,50866.0,Debt Consolidation,FL,22.88,None,36075.21181,730.0,1.0,0,10.0,None,26803.0,51.4,16.0,684,None,Creditworthy
10800,36 Months,7.0,RENT,58000.0,Car,NY,23.56,None,34820.295139999995,700.0,2.0,69,14.0,None,13194.0,25.5,29.0,0,None,Creditworthy
24500,36 Months,4.0,RENT,175000.0,Small Business,CA,9.59,None,30184.471530000003,740.0,1.0,0,7.0,One,4.0,0.0,11.0,1000,One,Creditworthy
5500,36 Months,5.0,RENT,34000.0,Credit Card,CA,20.56,None,38212.42222,685.0,1.0,0,5.0,None,4029.0,24.0,6.0,453,None,Creditworthy
33000,60 Months,3.0,MORTGAGE,83000.0,Debt Consolidation,MA,13.86,None,35081.47014,715.0,0.0,0,8.0,None,33982.0,50.0,12.0,0,None,Creditworthy
1000,36 Months,5.0,RENT,33600.0,Wedding,CA,17.11,None,34775.09583,665.0,0.0,26,10.0,None,18679.0,71.5,19.0,0,None,Creditworthy
6900,36 Months,2.0,RENT,39000.0,Other,AZ,3.42,None,38617.47292,670.0,1.0,0,3.0,None,3882.0,97.0,10.0,398,None,Creditworthy
9600,36 Months,6.0,MORTGAGE,108202.0,Debt Consolidation,FL,5.39,None,33651.24097,695.0,0.0,0,6.0,None,29526.0,95.6,45.0,250,None,Creditworthy
